PCN,ISSUED,LOCATION,Unnamed: 3,FINE,Total Paid,Balance
515,9,19,60,66,30,0
517,9,19,60,60,30,0
518,9,19,60,9,30,0
519,9,19,60,9,30,0
519,9,19,60,52,30,0
521,9,19,60,40,0,0
522,9,19,60,9,0,60
522,9,19,60,87,0,60
523,9,19,60,9,30,60
524,9,19,60,9,30,0
533,9,17,60,9,0,0
533,9,17,60,55,0,0
534,9,17,60,9,98,0
534,9,17,60,55,98,0
542,9,13,60,86,0,98
543,9,13,60,60,30,0
544,9,13,60,9,0,98
544,9,13,60,55,0,98
546,9,13,60,9,30,0
546,9,13,60,81,30,0
547,9,13,60,9,0,0
550,9,13,60,63,30,0
563,9,0,60,9,0,60
565,9,0,60,9,0,60
567,9,0,60,9,0,60
568,9,0,60,9,0,60
570,9,0,60,9,0,60
571,9,0,60,9,0,60
572,9,0,60,9,0,60
574,9,0,60,9,0,60
575,9,0,60,9,0,60
576,9,0,60,9,0,60
577,9,0,60,9,0,60
579,9,0,60,9,0,60
582,9,0,60,9,0,60
583,9,0,60,9,0,60
585,9,0,60,9,0,60
586,9,0,60,9,0,60
588,9,0,60,9,0,60
589,9,0,60,9,0,60
590,9,0,60,9,0,60
593,9,0,60,9,0,60
598,9,0,60,9,0,60
600,9,0,60,90,0,0
601,9,0,60,9,0,60
602,9,0,60,9,0,60
603,9,0,60,9,0,60
606,9,0,60,9,0,60
610,9,0,60,9,0,60
611,9,0,60,9,0,60
613,9,0,60,9,0,60
614,9,0,60,9,0,60
615,9,0,60,9,0,60
616,9,0,60,9,0,60
620,9,0,60,9,0,60
623,9,0,60,9,0,60
624,9,0,60,9,0,60
627,9,0,60,9,0,0
629,9,0,60,9,0,60
631,9,0,60,9,0,60
632,9,0,60,9,0,60
633,9,0,60,9,0,60
635,9,0,60,9,0,60
636,9,0,60,9,0,60
637,9,0,60,9,0,60
638,9,0,60,9,0,60
639,9,0,60,9,0,60
640,9,0,60,9,0,60
644,9,0,60,9,0,60
646,9,0,60,9,0,60
647,9,0,60,9,0,60
648,9,0,60,9,0,60
649,9,0,60,9,0,60
651,9,0,60,9,0,60
657,9,0,60,9,0,60
658,9,0,60,9,0,60
659,9,0,60,9,0,60
661,9,0,60,9,0,60
662,9,0,60,9,0,60
663,9,0,60,9,0,60
665,9,0,60,9,0,60
670,9,0,60,9,0,60
671,9,0,60,9,0,0
672,9,0,60,9,0,60
673,9,0,60,9,0,60
728,9,2,60,9,0,60
729,9,2,60,9,0,60
424,9,10,60,9,30,0
424,9,10,60,81,30,0
425,9,5,60,9,30,0
429,9,4,60,69,0,0
433,9,22,60,90,30,0
437,9,14,60,9,30,0
437,9,14,60,23,30,0
437,9,14,60,26,30,0
438,9,14,60,9,90,0
438,9,14,60,55,90,0
438,9,14,60,2,90,0
441,9,3,60,55,0,98
442,9,3,60,9,30,0
442,9,3,60,60,30,0
443,9,3,60,63,30,0
451,9,6,60,9,30,0
458,9,8,60,9,30,0
458,9,8,60,55,30,0
459,9,8,60,9,0,98
459,9,8,60,86,0,98
461,9,8,60,9,30,0
461,9,8,60,10,30,0
462,9,8,60,9,30,0
